fips,census_region,diabetes_prev,physical_inactivity_prev,pct_white,poverty_rate,pct_black,food_insecurity_rate,smoking_prev,median_income,snap_rate,obesity_prev,pct_age65plus,pct_hispanic,hypertension_prev,pct_college_edu,food_desert_index,unemployment_rate,fastfood_density,feci,pct_agri_sector,pct_mfg_sector,pct_foodsvc_sector,grocery_density,rucc_code
37167,South,10.5,0.355614973262032,0.7971283958268773,0.2801204819277109,0.1276817812826162,0.3043478260869565,0.3178807947019867,0.2772812559831514,0.4885483168579528,0.5414364640883977,0.2615325962638201,0.054054054054054,0.5133819951338201,0.2031063321385902,0.15397,0.1315112540192926,0.3863623733213321,0.332896096341647,0.048235294117647,0.3592368543508609,0.2910226899046366,0.5963748745772964,0.625
35007,West,11.4,0.4117647058823529,0.6667699617808076,0.3334105653382762,0.0071900730604198,0.4782608695652174,0.2251655629139072,0.2088071989278192,1.0,0.4088397790055248,0.4401448722836447,0.4872058370157229,0.5328467153284673,0.2601885039161025,0.41367,0.1131832797427652,0.3718899870998688,0.2553236912910238,0.0952941176470588,0.072126570497906,0.2285432423544886,0.6230910932376731,0.75
28125,South,19.6,0.9224598930481284,0.2311744654477843,0.6795644114921224,0.8543430360663342,0.7652173913043477,0.543046357615894,0.0790044035994639,0.4927941604187155,0.9281767955801103,0.2561951963400686,0.0053437467886137,1.0000000000000002,0.1465551573078454,0.0,0.3363344051446945,0.3851936808944485,0.3558336357206139,0.2656862745098039,0.0479292694276407,0.1660637948043406,0.6084285799282937,0.875
20117,Midwest,9.8,0.4545454545454546,0.947009606445615,0.1721501390176089,0.0076539487417372,0.2782608695652173,0.3609271523178807,0.3477158721041546,0.108914510686249,0.5718232044198894,0.3252001524971407,0.0269242626657075,0.5255474452554745,0.1922208947298553,0.0,0.0588424437299035,0.3754674194330958,0.4471105069086598,0.1539215686274509,0.4364820846905538,0.1917132522196646,0.6180367627641723,0.625
39013,Midwest,11.5,0.5347593582887701,0.9108563164962296,0.2722428174235403,0.0358343963817696,0.4695652173913044,0.3874172185430463,0.2526210989852575,0.4231133875205285,0.6685082872928176,0.3061380099123141,0.0130510738875757,0.586374695863747,0.190096906942785,0.17217,0.182636655948553,0.3973631352331406,0.3663050375005119,0.1117647058823529,0.180316426244765,0.2025649457415324,0.5977684037867894,0.25
36013,Northeast,10.0,0.4197860962566845,0.8689185001549427,0.3403614457831325,0.0310796706482662,0.4260869565217392,0.2814569536423841,0.2380394409343289,0.5266889428425269,0.5414364640883977,0.298131910026687,0.0958791491110882,0.48661800486618,0.2747909199522103,0.41652,0.1765273311897106,0.3882621900616437,0.3344543176757943,0.0396078431372549,0.3617961842717543,0.2229529759947386,0.5997907462988623,0.375
26133,Midwest,10.4,0.4518716577540107,0.9292428468133456,0.3215940685820204,0.0126406123158993,0.4869565217391304,0.3874172185430463,0.2421979705150297,0.4794960265967483,0.632596685082873,0.313953488372093,0.0205528722638988,0.562043795620438,0.1586353378468074,0.0,0.2106109324758842,0.3509409224799081,0.2495618903973413,0.0917647058823529,0.5111679851093532,0.1440315685629727,0.5803776027330118,1.0
55111,Midwest,9.8,0.4732620320855615,0.8864786695589298,0.1610287303058387,0.0107851095906297,0.2869565217391303,0.2814569536423841,0.399946390963048,0.3780679618588077,0.6546961325966849,0.267251239039268,0.0655636625218374,0.4063260340632604,0.2932430638523828,0.10238,0.0845659163987138,0.3977421051535806,0.3789632695687377,0.0594117647058823,0.3583061889250815,0.2354488655047681,0.5987740468688705,0.375
30105,West,8.6,0.3342245989304814,0.8443342629893605,0.2513901760889713,0.0070741041400904,0.2782608695652173,0.2549668874172185,0.2993681792073521,0.167960029260827,0.4419889502762432,0.3619900876858559,0.0263076764977905,0.5352798053527981,0.227266693216514,0.0,0.1057877813504823,0.3954198974783393,0.505278547803895,0.3268627450980392,0.0237319683573755,0.1798750411048996,0.6379698951130691,0.75
19101,Midwest,10.1,0.3689839572192513,0.8414419997934097,0.2771084337349397,0.0690015075959642,0.208695652173913,0.2516556291390728,0.2404671644648669,0.2047360140449628,0.632596685082873,0.3890583301563096,0.0414140376117562,0.5304136253041365,0.4942254082039029,0.31693,0.170096463022508,0.3675784743802734,0.3610451925958429,0.0258823529411764,0.2843182875756166,0.3163433081223281,0.5928676645975655,0.75
27001,Midwest,9.7,0.446524064171123,0.9323417002375788,0.242354031510658,0.0082337933433839,0.1478260869565216,0.3311258278145694,0.2609458165805093,0.1644901280775906,0.4558011049723757,0.5451772779260389,0.0150035967526461,0.5985401459854016,0.1931501393866985,0.59696,0.187459807073955,0.3699319093292273,0.4012618305755149,0.0762745098039215,0.2259190321079572,0.2213087800065768,0.6060130748861647,0.875
54059,South,15.8,0.8529411764705883,0.954240264435492,0.646663577386469,0.0229618462252116,0.5478260869565216,0.7019867549668873,0.1079992341566149,0.7167451219996632,0.7403314917127071,0.3059473884864659,0.0049326893433357,0.7980535279805354,0.0521704500199123,0.1465,0.3482315112540193,0.333874480614093,0.2115672697548742,0.3011764705882352,0.1202885062819916,0.2587964485366655,0.5989035886228388,0.75
16039,West,10.2,0.3288770053475935,0.7369073442826154,0.234708063021316,0.0367621477444045,0.3391304347826087,0.2450331125827814,0.2569481141106644,0.0905492502261763,0.4834254143646409,0.1688905833015631,0.1847703216524509,0.3503649635036497,0.2230187176423735,0.2232,0.2128617363344051,0.3639738732137437,0.34650157912641,0.1723529411764705,0.2522103303862261,0.2712923380466951,0.5765602782391008,0.625
20113,Midwest,8.8,0.3850267379679144,0.927590124987088,0.1589434661723818,0.0199466542966485,0.2782608695652173,0.23841059602649,0.4003522879571127,0.108914510686249,0.5607734806629834,0.2746854746473504,0.0558010481964854,0.4306569343065694,0.3808575600690297,0.0,0.0652733118971061,0.3947157734168713,0.4467647562841606,0.1041176470588235,0.4632387156817125,0.1805327195001644,0.6047092539086801,0.75
17161,Midwest,10.8,0.3422459893048128,0.7215163722755914,0.3049119555143652,0.1271019366809695,0.4347826086956522,0.2682119205298013,0.3166226306720275,0.600299724906663,0.632596685082873,0.2809759817003431,0.1438701058472921,0.4574209245742094,0.2609849993362538,0.47178,0.1839228295819935,0.3984278280865947,0.3195646395765004,0.0203921568627451,0.3766868310842253,0.2844459059519895,0.5935029537043044,0.125
06101,West,11.4,0.4171122994652406,0.4869331680611506,0.2998146431881372,0.0200626232169778,0.3478260869565217,0.2483443708609271,0.3831131533601378,0.3712769411364195,0.3535911602209944,0.2052992756385818,0.3328537663138423,0.389294403892944,0.2098765432098766,0.37587,0.2260450160771704,0.3798320295697313,0.3592930446583093,0.1633333333333333,0.1533271288971615,0.2732653732324893,0.6010432572345862,0.25
46035,Midwest,9.9,0.355614973262032,0.8975312467720276,0.2367933271547729,0.0064942595384436,0.1391304347826086,0.304635761589404,0.2755198161975876,0.1683937733952013,0.5883977900552486,0.285169653069005,0.0485047785428013,0.4452554744525548,0.2729324306385238,0.31332,0.027652733118971,0.4050216333209114,0.4292624322904779,0.0984313725490196,0.2456956724057701,0.2219664584018415,0.5956192092342346,0.75
19075,Midwest,8.6,0.3155080213903743,0.960231381055676,0.1079703429101019,0.0081178244230546,0.208695652173913,0.2483443708609271,0.4456595826153552,0.2047360140449628,0.5745856353591159,0.2948913457872665,0.0157229472818826,0.440389294403893,0.2693482012478428,0.0,0.0704180064308681,0.3397366912561271,0.381292094808678,0.1698039215686274,0.3043275942298744,0.1999342321604735,0.6214525884815166,0.25
26057,Midwest,10.5,0.3796791443850268,0.8700547464104947,0.2428174235403151,0.0634349994201553,0.4869565217391304,0.3377483443708609,0.2734290637564618,0.4794960265967483,0.552486187845304,0.2317956538314907,0.0776898571575377,0.4501216545012166,0.1940793840435417,0.3696399999999999,0.1520900321543408,0.3728048307904784,0.2796619415044355,0.0670588235294117,0.3396928804094928,0.1979611969746793,0.5796113978227945,0.625
05077,South,17.1,0.8235294117647058,0.3798161346968288,0.4849397590361446,0.634697900962542,1.0,0.5264900662251655,0.0875741910779245,0.1699395688644884,0.8342541436464088,0.2800228745711018,0.0301099578666118,0.83698296836983,0.0327890614628965,0.68573,0.5681672025723473,0.3477340883825544,0.3671483503588081,0.3078431372549019,0.1714751046998604,0.1654061164090759,0.605684747646651,0.75
27081,Midwest,8.9,0.3743315508021391,0.9535171986365044,0.1661260426320667,0.0018555027252696,0.1478260869565216,0.2847682119205297,0.3238751675282404,0.1644901280775906,0.5497237569060773,0.3602744948532215,0.0240468605487616,0.4501216545012166,0.2654984733837781,0.0,0.0877813504823151,0.1975354176475874,0.5114436027674416,0.2670588235294117,0.2363890181479758,0.2048668201249589,0.775852858506159,1.0
17121,Midwest,10.6,0.3983957219251337,0.9008366904245428,0.3234476367006488,0.0489388843789864,0.4347826086956522,0.3509933774834436,0.2712157763737316,0.600299724906663,0.6298342541436464,0.2767823103316813,0.0219915733223718,0.5158150851581509,0.1711137660958449,0.50803,0.2070739549839228,0.3753884855300584,0.3501990593443447,0.0394117647058823,0.4167054443927408,0.1065439000328839,0.6236993372967855,0.375
06027,West,9.4,0.2887700534759357,0.6347484763970663,0.1981000926784059,0.0112489852719471,0.3478260869565217,0.1854304635761589,0.36,0.3712769411364195,0.3176795580110496,0.3642775447960351,0.2442708868564381,0.4330900243309003,0.3639984070091597,0.18214,0.0884244372990353,0.4141802869362982,0.4062540529223021,0.0611764705882353,0.0749185667752443,0.2818151923709306,0.599685773866146,0.75
